"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"d:\FancyFlame\cream-rs\cream\Cargo.toml", "TOML", 0, 7, 1, 3, 11
"d:\FancyFlame\cream-rs\cream\src\event.rs", "Rust", 10, 0, 0, 3, 13
"d:\FancyFlame\cream-rs\cream\src\lib.rs", "Rust", 1, 0, 0, 1, 2
"d:\FancyFlame\cream-rs\cream_backend\Cargo.toml", "TOML", 0, 17, 1, 5, 23
"d:\FancyFlame\cream-rs\cream_backend\src\lib.rs", "Rust", 3, 0, 0, 2, 5
"d:\FancyFlame\cream-rs\cream_backend\src\runtime\mod.rs", "Rust", 74, 0, 0, 9, 83
"d:\FancyFlame\cream-rs\cream_backend\src\window\canvas.rs", "Rust", 52, 0, 0, 8, 60
"d:\FancyFlame\cream-rs\cream_backend\src\window\mod.rs", "Rust", 26, 0, 0, 7, 33
"d:\FancyFlame\cream-rs\cream_backend\src\window\window_builder.rs", "Rust", 24, 0, 0, 6, 30
"d:\FancyFlame\cream-rs\cream_core\examples\test.rs", "Rust", 6, 0, 0, 1, 7
"d:\FancyFlame\cream-rs\cream_core\src\render\mod.rs", "Rust", -32, 0, 0, -3, -35
"d:\FancyFlame\cream-rs\cream_core\src\style\mod.rs", "Rust", 0, 0, 0, 1, 1
"d:\FancyFlame\cream-rs\cream_core\src\style\units.rs", "Rust", -4, 0, 0, -2, -6
"d:\FancyFlame\cream-rs\cream_kit\Cargo.toml", "TOML", 0, -6, -1, -3, -10
"d:\FancyFlame\cream-rs\cream_kit\src\event.rs", "Rust", -10, 0, 0, -3, -13
"d:\FancyFlame\cream-rs\cream_kit\src\lib.rs", "Rust", -1, 0, 0, -1, -2
"d:\FancyFlame\cream-rs\cream_macros\src\element\build.rs", "Rust", 7, 0, 0, 1, 8
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\mod.rs", "Rust", 1, 0, 0, 0, 1
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\parse.rs", "Rust", 7, 0, 0, 1, 8
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\to_tokens.rs", "Rust", 1, 0, 0, 0, 1
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_match.rs", "Rust", -2, 0, 0, 0, -2
"d:\FancyFlame\cream-rs\cream_macros\src\expr\mod.rs", "Rust", 0, 0, 1, 0, 1
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_block.rs", "Rust", 4, 0, 0, 0, 4
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_expr.rs", "Rust", 23, 0, 0, 2, 25
"d:\FancyFlame\cream-rs\cream_macros\src\lib.rs", "Rust", -3, 0, 0, 0, -3
"d:\FancyFlame\cream-rs\cream_winit\Cargo.toml", "TOML", 0, -5, -1, -3, -9
"d:\FancyFlame\cream-rs\cream_winit\src\lib.rs", "Rust", -12, 0, 0, -3, -15
"Total", "-", 175, 13, 1, 32, 221
