"filename", "language", "Rust", "comment", "blank", "total"
"d:\FancyFlame\cream-rs\cream_core\examples\test.rs", "Rust", 45, 0, 10, 55
"d:\FancyFlame\cream-rs\cream_core\src\lib.rs", "Rust", 1, 0, 1, 2
"d:\FancyFlame\cream-rs\cream_core\src\structure\cache_box.rs", "Rust", 35, 0, 5, 40
"d:\FancyFlame\cream-rs\cream_core\src\structure\fn_helper.rs", "Rust", 15, 0, 3, 18
"d:\FancyFlame\cream-rs\cream_core\src\structure\mod.rs", "Rust", -10, -1, -1, -12
"d:\FancyFlame\cream-rs\cream_macros\examples\t.rs", "Rust", -11, 0, -2, -13
"d:\FancyFlame\cream-rs\cream_macros\src\element\build.rs", "Rust", 66, 0, 12, 78
"d:\FancyFlame\cream-rs\cream_macros\src\element\cmd.rs", "Rust", 6, 0, 0, 6
"d:\FancyFlame\cream-rs\cream_macros\src\element\mod.rs", "Rust", 17, 0, 2, 19
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\mod.rs", "Rust", 7, 0, 2, 9
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\parse.rs", "Rust", 3, 0, 0, 3
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt\to_tokens.rs", "Rust", 27, 0, 5, 32
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_if.rs", "Rust", 26, 0, 6, 32
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_match.rs", "Rust", 22, 0, 2, 24
"d:\FancyFlame\cream-rs\cream_macros\src\expr\mod.rs", "Rust", -31, 0, -1, -32
"d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_for.rs", "Rust", 14, -3, 3, 14
"d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_while.rs", "Rust", 14, 0, 2, 16
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_block.rs", "Rust", 21, 0, 2, 23
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_command.rs", "Rust", -16, 0, 0, -16
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_expr.rs", "Rust", 70, 0, 8, 78
"d:\FancyFlame\cream-rs\cream_macros\src\lib.rs", "Rust", -11, 21, 0, 10
"Total", "-", 310, 17, 59, 386
