"filename", "language", "Rust", "comment", "blank", "total"
"d:\FancyFlame\cream-rs\cream_core\src\structure\add_child.rs", "Rust", 3, 0, 0, 3
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt.rs", "Rust", 83, 1, 11, 95
"Total", "-", 86, 1, 11, 98
