Date : 2023-02-25 18:07:38
Directory : d:\FancyFlame\cream-rs
Total : 68 files,  2664 codes, 75 comments, 548 blanks, all 3287 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\FancyFlame\cream-rs\cream_core\src\render\mod.rs                                  | Rust     |         85 |          0 |         11 |         96 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\add_child.rs                         | Rust     |        104 |          8 |         12 |        124 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\branch.rs                            | Rust     |         58 |          0 |         10 |         68 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\chain.rs                             | Rust     |         32 |          0 |          7 |         39 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\mod.rs                               | Rust     |         73 |          6 |         17 |         96 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\repeating.rs                         | Rust     |         85 |          0 |         14 |         99 |
| d:\FancyFlame\cream-rs\cream_core\src\structure\slot.rs                              | Rust     |         62 |          0 |          9 |         71 |
| d:\FancyFlame\cream-rs\cream_core\src\style\add_style.rs                             | Rust     |         19 |          0 |          5 |         24 |
| d:\FancyFlame\cream-rs\cream_core\src\style\branch.rs                                | Rust     |         18 |          0 |          3 |         21 |
| d:\FancyFlame\cream-rs\cream_core\src\style\chain.rs                                 | Rust     |         24 |          0 |          4 |         28 |
| d:\FancyFlame\cream-rs\cream_core\src\style\mod.rs                                   | Rust     |         23 |         25 |          8 |         56 |
| d:\FancyFlame\cream-rs\cream_core\src\style\reader.rs                                | Rust     |         49 |          0 |          6 |         55 |
| d:\FancyFlame\cream-rs\cream_core\src\style\units.rs                                 | Rust     |          4 |          0 |          2 |          6 |
| d:\FancyFlame\cream-rs\cream_kit\Cargo.toml                                          | TOML     |          6 |          1 |          3 |         10 |
| d:\FancyFlame\cream-rs\cream_kit\src\event.rs                                        | Rust     |         10 |          0 |          3 |         13 |
| d:\FancyFlame\cream-rs\cream_kit\src\lib.rs                                          | Rust     |          1 |          0 |          1 |          2 |
| d:\FancyFlame\cream-rs\cream_macros\Cargo.toml                                       | TOML     |         11 |          1 |          4 |         16 |
| d:\FancyFlame\cream-rs\cream_macros\examples\t.rs                                    | Rust     |         11 |          0 |          2 |         13 |
| d:\FancyFlame\cream-rs\cream_macros\src\element\cmd.rs                               | Rust     |         15 |          0 |          3 |         18 |
| d:\FancyFlame\cream-rs\cream_macros\src\element\mod.rs                               | Rust     |         45 |          0 |         12 |         57 |
| d:\FancyFlame\cream-rs\cream_macros\src\element\stmt.rs                              | Rust     |         98 |          1 |         15 |        114 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\ca.rs                       | Rust     |         50 |          0 |         11 |         61 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\mod.rs                      | Rust     |          3 |          0 |          1 |          4 |
